112 17 4 0.000000 5.670000 10.272000 23.559240 # Cc LIG
113 18 4 0.000000 18.718000 32.870998 23.559240 # Cc LIG
114 19 4 0.000000 31.764999 10.272000 23.559240 # Cc LIG
115 20 4 0.000000 44.813000 32.870998 23.559240 # Cc LIG
116 25 2 0.000000 7.324000 13.429000 22.302240 # Ca LIG
117 26 2 0.000000 20.371000 36.028000 22.302240 # Ca LIG
118 27 2 0.000000 33.418999 13.429000 22.302240 # Ca LIG
119 28 2 0.000000 46.466999 36.028000 22.302240 # Ca LIG
120 17 3 0.000000 6.944000 12.355000 23.250240 # Cb LIG
121 18 3 0.000000 19.992001 34.953999 23.250240 # Cb LIG
122 19 3 0.000000 33.039001 12.355000 23.250240 # Cb LIG
123 20 3 0.000000 46.087002 34.953999 23.250240 # Cb LIG
124 9 4 0.000000 7.378000 12.327000 17.730240 # Cc LIG
125 10 4 0.000000 20.424999 34.925999 17.730240 # Cc LIG
126 11 4 0.000000 33.473000 12.327000 17.730240 # Cc LIG
127 12 4 0.000000 46.521000 34.925999 17.730240 # Cc LIG
128 17 5 0.000000 6.111000 11.337000 22.770241 # Cd LIG
129 18 5 0.000000 19.159000 33.936001 22.770241 # Cd LIG
130 19 5 0.000000 32.206001 11.337000 22.770241 # Cd LIG
131 20 5 0.000000 45.254002 33.936001 22.770241 # Cd LIG
132 17 6 0.000000 5.790000 11.379000 21.732241 # H LIG
133 18 6 0.000000 18.837000 33.978001 21.732241 # H LIG
134 19 6 0.000000 31.885000 11.379000 21.732241 # H LIG
135 20 6 0.000000 44.932999 33.978001 21.732241 # H LIG
136 25 8 0.000000 6.857000 13.431000 21.113241 # Ob LIG
137 26 8 0.000000 19.905001 36.029999 21.113241 # Ob LIG
138 27 8 0.000000 32.952000 13.431000 21.113241 # Ob LIG
139 28 8 0.000000 46.000000 36.029999 21.113241 # Ob LIG
140 25 7 0.000000 8.133000 14.336000 22.723240 # Oa LIG
141 26 7 0.000000 21.180000 36.936001 22.723240 # Oa LIG
142 27 7 0.000000 34.228001 14.336000 22.723240 # Oa LIG
143 28 7 0.000000 47.276001 36.936001 22.723240 # Oa LIG
144 25 10 0.000000 8.790000 16.146999 22.015240 # Zn LIG
145 26 10 0.000000 21.837000 38.745998 22.015240 # Zn LIG
