LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.5 on Sun Jun 11 11:09:30 PDT 2017
 1344 atoms
 232 bonds
 0 angles
 0 dihedrals
 0 impropers
 9 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 5.211350 49.089348  xlo xhi
 5.467939 43.447985  ylo yhi
 -0.000999 27.670990  zlo zhi
 -21.936631 0.004831 -0.025099 xy xz yz

# Pair Coeffs
#
# 1  Ca
# 2  Cb
# 3  Cc
# 4  Cd
# 5  H
# 6  Oa
# 7  Ob
# 8  Oc
# 9  Zn

 Masses

 1 12.011000 # Ca
 2 12.011000 # Cb
 3 12.011000 # Cc
 4 12.011000 # Cd
 5 1.008000 # H
 6 15.999000 # Oa
 7 15.999000 # Ob
 8 15.999000 # Oc
 9 65.379997 # Zn

 Atoms

70 1 8 -0.683695 44.538425 10.424252 19.896994 # Oc LIG
71 1 6 -0.688200 43.077423 8.186253 20.072994 # Oa LIG
72 1 7 -0.706966 43.420425 11.021252 23.987993 # Ob LIG
73 1 8 -0.683695 41.994423 8.288252 17.587994 # Oc LIG
74 1 6 -0.688200 44.662426 8.145252 17.765993 # Oa LIG
75 1 7 -0.706966 42.033424 7.018252 21.676994 # Ob LIG
76 1 8 -0.683695 31.024796 40.608299 19.304993 # Oc LIG
77 1 6 -0.688200 33.691795 40.762299 19.124992 # Oa LIG
78 1 7 -0.706966 31.058796 41.873299 22.131992 # Ob LIG
79 1 8 -0.683695 33.565796 38.477295 23.913994 # Oc LIG
80 1 6 -0.688200 32.110794 40.714294 23.737993 # Oa LIG
81 1 7 -0.706966 32.465794 37.873299 19.821993 # Ob LIG
82 1 8 -0.683695 34.145794 41.747299 21.611994 # Oc LIG
83 1 6 -0.688200 32.941795 39.361298 21.429993 # Oa LIG
84 1 7 -0.706966 35.225796 41.082298 17.520992 # Ob LIG
85 1 5 0.135033 28.929173 42.697487 1.953002 # H LIG
86 1 5 0.135033 34.090004 36.286392 25.145990 # H LIG
87 1 5 0.135033 34.054173 34.026489 3.434002 # H LIG
88 1 5 0.135033 32.836002 35.633392 27.312990 # H LIG
89 1 5 0.135033 15.801805 6.503443 1.109001 # H LIG
90 1 5 0.135033 35.759171 43.365486 2.074002 # H LIG
91 1 5 0.135033 36.989002 42.516388 25.013990 # H LIG
92 1 5 0.135033 26.870003 42.353386 26.471991 # H LIG
93 1 5 0.135033 28.834003 41.201393 27.435991 # H LIG
94 1 5 0.135033 47.949631 6.379344 25.716991 # H LIG
95 1 5 0.135033 37.842632 6.538344 24.259991 # H LIG
96 1 5 0.135033 39.800800 7.711443 2.539002 # H LIG
97 1 5 0.135033 45.093632 14.900343 26.574991 # H LIG
98 1 5 0.135033 39.904800 6.243443 0.352002 # H LIG
99 1 5 0.135033 45.120632 12.625343 25.606991 # H LIG
100 1 5 0.135033 46.723801 5.578443 0.231002 # H LIG
101 1 5 0.135033 26.766171 42.433487 1.197002 # H LIG
102 1 5 0.135033 43.768803 13.290443 2.662001 # H LIG
103 1 9 0.918944 32.386002 39.334389 25.345991 # Zn LIG
104 1 9 0.918944 33.997173 40.321487 2.285002 # Zn LIG
